cDate,NPV
2025-01-01,5000
2025-01-02,5200
2025-01-03,5300
2025-01-04,5400
2025-01-12,6200
2025-01-13,6300
2025-01-14,6400
2025-01-15,6500
2025-01-16,6600
2025-01-17,6700
2025-01-18,6800
2025-01-19,6900
2025-01-20,7000
2025-01-21,7100
2025-01-22,7200
2025-01-23,7300
2025-01-24,7400
2025-01-25,7500
2025-01-26,7600
2025-01-27,7700
2025-01-28,7800
2025-01-29,7900
2025-01-30,8000
2025-01-05,5500
2025-01-06,5600
2025-01-07,5700
2025-01-08,5800
2025-01-09,5000
2025-01-02,5250
2025-01-03,5350
2025-01-04,5500
2025-01-05,5700
2025-01-06,5450
2025-01-07,5600
2025-01-08,5850
2025-01-09,5900
2025-01-10,6050
2025-01-11,6100
2025-01-12,6250
2025-01-13,6350
2025-01-14,6500
2025-01-15,6600
2025-01-16,6700
2025-01-17,6900
2025-01-18,7050
2025-01-19,7200
2025-01-20,7350
2025-01-21,7400
2025-01-22,7500
2025-01-23,7600
2025-01-24,7550
2025-01-25,7700
2025-01-26,7800
2025-01-27,7900
2025-01-28,8100
2025-01-29,8250
2025-01-30,8300
2025-01-10,6000
2025-01-11,6100
